Artist;Song;Genre;Arrangement Title;Arranger;Difficulty;Shop;Link;Performance Link;Notes
Adele;Rolling in the Deep;pop/rock;Rolling in the Deep;Robert Longfield;Level 1.5;halleonard.com;https://www.halleonard.com/product/4003250/rolling-in-the-deep;https://www.youtube.com/watch?v=rYEDA3JcQqw;Young Concert Band. Also Discovery Plus Concert Band (HL 04004471) & Easy Jazz Ensemble.
Adele;Someone Like You;pop/rock;Adele in Concert;Michael Brown;Level 3;halleonard.com;https://www.halleonard.com/product/4001333/adele-in-concert;https://www.youtube.com/watch?v=hLQl3WQQoQ0;Medley incl. Someone Like You, Rolling in the Deep, Set Fire to the Rain. No standalone found.
Amy Winehouse;Back to Black;pop/rock;A Tribute to Amy Winehouse;;Mittelstufe;rundel.de;https://www.rundel.de/en/search/?q=winehouse+tribute;https://www.youtube.com/watch?v=TJAfLE79ZZo;DeHaske DHP1155660 medley incl Back to Black, Rehab, Valerie. No standalone.
Amy Winehouse;Rehab;pop/rock;A Tribute to Amy Winehouse;;Mittelstufe;rundel.de;https://www.rundel.de/en/search/?q=winehouse+tribute;https://www.youtube.com/watch?v=KUmZp8pR1uc;Same DHP1155660 tribute medley.
Amy Winehouse;Valerie;pop/rock;A Tribute to Amy Winehouse;;Mittelstufe;rundel.de;https://www.rundel.de/en/search/?q=winehouse+tribute;https://www.youtube.com/watch?v=7wrQv6GmhTk;Same DHP1155660 tribute medley.
Arctic Monkeys;Do I Wanna Know?;pop/rock;;;;;;https://www.youtube.com/watch?v=bpOSxM-ZrXM;No wind/brass arrangement found at abel/rundel/halleonard.
Bee Gees;How Deep Is Your Love;pop/rock;How Deep Is Your Love;;Mittelstufe;rundel.de;https://www.rundel.de/en/product/MVSR2116/how-deep-is-your-love;https://www.youtube.com/watch?v=9D-xXqYYWkI;MVSR2116. Concert band arrangement.
Bee Gees;How Deep Is Your Love;pop/rock;How Deep is Your Love;;Mittelstufe;rundel.de;https://www.rundel.de/en/product/MVSR5573/how-deep-is-your-love;https://www.youtube.com/watch?v=9D-xXqYYWkI;MVSR5573. Brass ensemble arrangement.
Bee Gees;Night Fever;pop/rock;Night Fever - A Tribute to the Bee Gees;Wolfgang Wössner;Mittel-/Oberstufe;rundel.de;https://www.rundel.de/en/product/M2253.24/night-fever;https://www.youtube.com/watch?v=ZnLmsAaWY6M;M2253.24. Concert band medley of Bee Gees disco hits.
Bee Gees;Stayin' Alive;pop/rock;Stayin' Alive;;Oberstufe;rundel.de;https://www.rundel.de/en/product/DH1023203/stayin-alive;https://www.youtube.com/watch?v=I_izvHhJ5no;DH1023203. Concert band arrangement.
Bee Gees;Stayin' Alive;pop/rock;Disco Lives! (Flex-Band);;Unter-/Mittelstufe;rundel.de;https://www.rundel.de/en/search/?q=disco+lives+flex;https://www.youtube.com/watch?v=I_izvHhJ5no;HL04002800. Flex-band medley incl. Stayin' Alive and other disco hits.
Bee Gees;Stayin' Alive;pop/rock;Saturday Night Fever (Selections from);;Mittelstufe;rundel.de;https://www.rundel.de/en/search/?q=saturday+night+fever;https://www.youtube.com/watch?v=I_izvHhJ5no;HL04000793. Concert band medley from Saturday Night Fever musical incl. Stayin' Alive, Jive Talkin', You Should Be Dancing.
Black Sabbath;Iron Man;pop/rock;Metal! (Medley);Sean O'Loughlin;Mittelstufe;rundel.de;https://www.rundel.de/en/product/HL04003750/metal;https://www.youtube.com/watch?v=HWn-EhrCmCk;HL04003750. Concert band medley incl. Black Sabbath and Iron Maiden songs.
Blur;Song 2;pop/rock;Song 2;Andreas Lux;2;sheetmusicdirect.com;https://www.sheetmusicdirect.com/se/ID_No/1360026/Product.aspx;https://www.youtube.com/watch?v=SSbBvAvM6f8;Concert Band, arr. Andreas Lux, Level 2, Pop Rock
Coldplay;Clocks;pop/rock;Coldplay in Symphony;Bert Appermont;Oberstufe (4);rundel.de;https://www.rundel.de/en/article/coldplay_in_symphony/BMP1901689;https://www.youtube.com/watch?v=L-maVe9EYRg;medley incl. Viva La Vida, Sky Full of Stars, Clocks, The Scientist. Also abel.at
Coldplay;Fix You;pop/rock;Fix You;Dean Jones;3;hebu-music.com;https://www.hebu-music.com/index.php/en/article/coldplay/molenaar-edition-bv/fix-you.731000/;https://www.youtube.com/watch?v=k4V3Mo61fJM;Molenaar Edition, MOL 013530060, Concert Band, 4:40. Also Fanfare Band
Coldplay;Sky Full of Stars;pop/rock;Coldplay in Symphony;Bert Appermont;Oberstufe (4);rundel.de;https://www.rundel.de/en/article/coldplay_in_symphony/BMP1901689;https://www.youtube.com/watch?v=L-maVe9EYRg;medley incl. Viva La Vida, Sky Full of Stars, Clocks, The Scientist. Also abel.at
Coldplay;The Scientist;pop/rock;Coldplay in Symphony;Bert Appermont;Oberstufe (4);rundel.de;https://www.rundel.de/en/article/coldplay_in_symphony/BMP1901689;https://www.youtube.com/watch?v=L-maVe9EYRg;medley incl. Viva La Vida, Sky Full of Stars, Clocks, The Scientist. Also abel.at
Coldplay;Viva la Vida;pop/rock;Viva La Vida;Tim Waters;Level 2;halleonard.com;https://www.halleonard.com/product/08725224/viva-la-vida;https://www.youtube.com/watch?v=dvgZkm1xWPE;Discovery Concert Band
Coldplay;Viva La Vida;pop/rock;Coldplay in Symphony;Bert Appermont;Oberstufe (4);rundel.de;https://www.rundel.de/en/article/coldplay_in_symphony/BMP1901689;https://www.youtube.com/watch?v=L-maVe9EYRg;medley incl. Viva La Vida, Sky Full of Stars, Clocks, The Scientist. Also abel.at
Coldplay;Yellow;pop/rock;Yellow (Orchestral Version);Henk Ummels / Dean Jones;3;stretta-music.de;https://www.stretta-music.de/coldplay-yellow-nr-1180237.html;https://www.youtube.com/watch?v=yKNxeF4FKaM;Molenaar Edition, MOL 013338050, Concert Band, 4:00. Also Fanfare MOL 023338050 & Brass Band MOL 013538050. Also hebu-music.com
Cream;White Room;pop/rock;;;;;;https://www.youtube.com/watch?v=hE5d3hWlBeE;No wind/brass arrangement found at abel/rundel/halleonard.
David Bowie;Let's Dance;pop/rock;David Bowie: The Hits (Let's Dance / Space Oddity / Under Pressure);Patrick Roszell;3;-;https://www.windrep.org/David_Bowie:_The_Hits;https://www.youtube.com/watch?v=N4d7Wp9kKjA;Alfred Publishing 2023, Grade III, c.6:45, USD 78 score+parts / 10 score. WRP reference page (no direct shop URL extractable: Alfred JS, stretta-music.de EUR 106, stretta-music.at EUR 109). Medley contains 3 songs
David Bowie;Life on Mars?;pop/rock;Life on Mars;;Mittelstufe;rundel.de;https://www.rundel.de/en/product/DH890132/life-on-mars;https://www.youtube.com/watch?v=vGNhnUr7TRw;DH890132. Concert band arrangement.
David Bowie;Space Oddity;pop/rock;David Bowie: The Hits (Let's Dance / Space Oddity / Under Pressure);Patrick Roszell;3;-;https://www.windrep.org/David_Bowie:_The_Hits;https://www.youtube.com/watch?v=iYYRH4apXDo;Same medley as Let's Dance row (Alfred 2023, Grade III). WRP reference page
